nome,cpf,idade,data,endereco,estado
Emilly Leão,654.972.310-80,34,1991-06-03,"pátio fernando freitas, 842
aparecida
66689-182 ferreira do sul / pi",AMAZONAS
Vitor Hugo Duarte,789.210.654-58,46,1978-10-10,"trevo de da mata, 1
vila antena
46523077 andrade / rn",RONDÔNIA
Caio Araújo,506.294.831-24,50,1975-04-21,"viaduto pimenta, 19
alto das antenas
15927-736 gonçalves / ap",GOIÁS
Antônio Ferreira,836.710.429-31,48,1976-10-04,"lago de guerra, 8
lagoinha
39815155 oliveira / ba",DISTRITO FEDERAL
Vitor Hugo Pires,874.623.105-62,30,1994-12-14,"alameda ana luiza monteiro, 46
vila das oliveiras
62063-601 novais de nogueira / rn",AMAZONAS
Melina Santos,670.815.439-01,29,1996-02-13,"colônia barros, 7
ventosa
13537-064 rodrigues da serra / sc",PIAUÍ
João Cassiano,298.371.504-32,40,1984-09-02,"colônia isabella vasconcelos
castelo
16860-184 azevedo de da cruz / ap",BAHIA
Thales Oliveira,436.871.205-62,33,1992-06-04,"estrada de viana, 52
serra do curral
57617-089 camargo do campo / rj",RIO GRANDE DO SUL
Catarina Camargo,861.043.295-51,36,1988-12-29,"recanto de cavalcanti, 23
vila coqueiral
94199385 freitas / ac",RORAIMA
Gustavo Farias,635.289.014-89,55,1970-03-14,"vale vargas, 354
mala e cuia
19351-810 moura de minas / es",RIO DE JANEIRO
Joana Araújo,879.256.034-29,31,1994-02-18,"colônia thomas sousa, 83
nossa senhora aparecida
15689-393 cavalcante / rj",MINAS GERAIS
Luna Cavalcante,045.762.318-71,50,1974-11-09,"campo de cavalcanti, 355
vila petropolis
89760-693 da luz grande / ba",MATO GROSSO DO SUL
Mateus Vargas,408.152.769-58,55,1970-07-15,"setor cecilia alves, 212
vista do sol
54793109 cavalcante / to",ACRE
Alexia Barbosa,107.256.984-11,51,1973-11-13,"largo ana da cruz, 254
jaraguá
53480-695 macedo / es",MATO GROSSO
Dra. Maria Flor Câmara,461.537.908-01,20,2004-10-13,"sítio de cavalcanti
copacabana
96743-133 campos alegre / rj",RIO DE JANEIRO
Maria Liz Montenegro,970.213.546-06,32,1993-05-31,"lagoa de sá, 72
são josé
88689636 leão / mg",PARÁ
Arthur Andrade,023.681.945-33,19,2006-04-26,"avenida da cruz, 52
jardim leblon
84256-255 duarte / ac",MATO GROSSO DO SUL
Heitor Farias,867.143.209-22,26,1999-06-03,"vila benicio pacheco, 33
guarani
21120428 pimenta / am",MINAS GERAIS
Manuella Ramos,065.741.239-25,48,1977-03-07,"chácara garcia, 551
paraíso
21885-958 camargo do galho / ce",CEARÁ
Milena Moura,761.820.953-77,49,1976-07-11,"trevo fogaça, 86
são francisco
12888585 cunha verde / es",DISTRITO FEDERAL
Vitor Gabriel Silveira,139.478.265-91,19,2005-07-27,"alameda de camargo, 8
conjunto novo dom bosco
29377-418 da luz grande / mg",RIO DE JANEIRO
Lucas Campos,729.650.143-06,31,1993-10-23,"parque de aparecida, 54
pilar
25036-639 correia / rs",ALAGOAS
Sofia Garcia,168.243.957-73,47,1977-12-10,"loteamento josé miguel silveira, 83
vila independencia 1ª seção
37173591 souza / se",BAHIA
Ravy Cunha,951.746.302-25,60,1965-06-04,"estrada theo silveira, 60
são vicente
41601685 souza das flores / am",AMAPÁ
Bernardo Brito,247.395.861-00,34,1990-09-13,"sítio cunha, 74
maria goretti
37594-814 lima / go",ALAGOAS
Olivia Porto,307.915.862-86,55,1970-04-28,"viaduto freitas, 9
maria helena
16473861 pereira / rr",TOCANTINS
Sr. Rael Rios,632.408.951-70,58,1967-05-01,"conjunto martins, 73
mangueiras
97910216 costa / ce",MINAS GERAIS
Mateus Oliveira,081.263.957-02,46,1978-08-05,"travessa campos, 49
vila batik
75994123 da paz paulista / to",SÃO PAULO
Marcos Vinicius Abreu,340.567.298-83,56,1968-09-05,"trecho garcia, 80
floramar
55290-523 cassiano de da conceição / go",ESPÍRITO SANTO
João Miguel Pinto,985.372.406-56,24,2001-03-20,"chácara de araújo, 18
alto dos pinheiros
25310-644 pinto paulista / pi",SANTA CATARINA
Dra. Caroline Monteiro,781.526.093-40,37,1987-08-03,"passarela de ramos, 34
boa viagem
31563357 ferreira / ac",DISTRITO FEDERAL
Lorenzo Rios,158.963.042-42,21,2003-07-26,"praça da conceição, 27
novo santa cecilia
46321597 nunes / ms",GOIÁS
Sra. Maria Vitória Pinto,415.830.629-98,18,2006-08-21,"campo rios
etelvina carneiro
98772523 caldeira paulista / to",RIO DE JANEIRO
Sr. José Miguel Rios,179.865.302-86,19,2005-11-07,"distrito ana luiza cassiano, 7
conjunto santa maria
14768-799 dias do oeste / rj",SANTA CATARINA
Allana Garcia,235.741.980-60,40,1984-10-23,"pátio de da costa, 968
santo antônio
05372-422 sousa da serra / ce",PARAÍBA
Maria Fernanda Lima,820.654.397-00,27,1998-03-01,"morro ramos, 89
lagoinha
20505849 barbosa / df",BAHIA
Maitê Pacheco,059.617.238-95,28,1997-02-15,"favela de sampaio, 69
virgínia
06760903 sampaio / sp",ACRE
Mathias Nunes,561.832.970-03,27,1997-12-05,"rua henrique vieira, 428
senhor dos passos
13443-979 ramos do oeste / rs",RIO DE JANEIRO
Sara Nunes,863.245.091-33,52,1972-12-13,"morro de silveira, 77
barão homem de melo 3ª seção
15431883 pires de ramos / pi",AMAZONAS
Bárbara Campos,170.245.386-35,57,1967-11-06,"estação de cassiano, 68
califórnia
03728369 brito / pe",GOIÁS
Dr. Luiz Miguel Correia,045.972.386-38,37,1988-01-25,"passarela costela, 6
conjunto minas caixa
68995465 viana do amparo / rj",SANTA CATARINA
Laura Mendonça,407.695.821-76,55,1970-04-21,"conjunto ferreira, 44
castanheira
66752-995 monteiro / pi",ESPÍRITO SANTO
Mariana Peixoto,684.271.539-37,46,1979-06-01,"vila maria julia da mota, 6
mangabeiras
74099182 moraes / ce",AMAZONAS
Luigi Freitas,358.629.410-70,52,1972-08-14,"rodovia carvalho, 45
vila mantiqueira
35183649 da mata de guerra / mt",GOIÁS
Sabrina Cirino,217.530.984-32,35,1990-01-26,"colônia ramos, 98
flamengo
25867923 albuquerque da serra / sp",AMAZONAS
Gabriel Da Mata,675.183.290-77,42,1982-10-12,"travessa de rezende
universo
86438048 marques de das neves / ba",CEARÁ
Raul Pastor,987.456.201-30,33,1991-10-17,"jardim de vasconcelos, 52
coração de jesus
28356249 cardoso / ac",ALAGOAS
Sophie Freitas,931.075.624-16,32,1992-09-09,"distrito de silva
piratininga
76938-401 das neves da praia / rj",SANTA CATARINA
Srta. Nicole Carvalho,028.517.693-59,38,1986-10-18,"setor de da rosa, 584
cardoso
88209-894 costa de sales / sc",MATO GROSSO DO SUL
Isaque Costa,869.431.527-00,23,2002-06-01,"viaduto sarah carvalho, 9
santa rita de cássia
87758-860 marques / ro",GOIÁS
Pedro Miguel Farias,685.971.034-93,19,2005-09-13,"trevo lavínia andrade, 6
lindéia
26886-524 fernandes / ma",PARÁ
Theodoro Guerra,418.937.205-60,35,1990-03-24,"viaduto giovanna abreu
tupi b
98131596 azevedo de rios / ap",ALAGOAS
Dra. Ester Lopes,813.904.567-57,28,1997-01-07,"colônia samuel mendonça
vila minaslandia
84843-461 ribeiro de azevedo / df",SÃO PAULO
Henrique Cunha,760.328.951-30,57,1968-02-06,"lago daniel ribeiro, 2
paquetá
35622136 ramos / ms",RORAIMA
Luiz Otávio Sampaio,796.138.502-95,56,1969-05-17,"vereda novaes, 1
maria helena
48609-687 carvalho de goiás / ba",RONDÔNIA
Mathias Da Cunha,896.530.214-51,31,1994-07-20,"aeroporto asafe monteiro, 4
aeroporto
48466-654 da rocha grande / pa",PARAÍBA
Sr. Erick Das Neves,318.972.654-09,32,1992-10-12,"viaduto manuella moraes
ipe
82953509 viana de borges / pi",AMAZONAS
João Miguel Martins,683.205.197-21,31,1994-04-30,"aeroporto de câmara, 8
confisco
15977-863 nascimento / al",SANTA CATARINA
Valentim Castro,814.652.379-09,20,2005-01-30,"esplanada eloá da rosa, 53
apolonia
53889-951 teixeira / rj",AMAZONAS
Maria Sophia Brito,072.189.543-32,23,2002-07-18,"trevo cavalcante, 83
baleia
33841630 abreu do galho / rr",ESPÍRITO SANTO
Evelyn Freitas,675.439.012-34,56,1968-09-18,"parque cauã correia, 34
urca
84587-338 moura / sc",PARANÁ
Vitória Ramos,734.102.869-69,31,1994-01-05,"trevo cunha, 88
maria helena
86680-093 campos / al",TOCANTINS
Dra. Camila Viana,958.376.412-46,56,1969-03-21,"campo de da mata, 77
vila coqueiral
03648-651 garcia verde / pa",MATO GROSSO DO SUL
Dra. Mariah Ferreira,341.679.528-82,39,1986-04-28,"jardim pietro peixoto
baleia
25760890 duarte / pe",RORAIMA
Rodrigo Vieira,754.368.021-17,25,2000-03-05,"estrada igor sampaio, 1
vila boa vista
97957-618 gonçalves / rs",GOIÁS
Dr. João Gabriel Viana,573.091.482-23,41,1984-06-15,"esplanada pinto, 36
conjunto jatoba
07488366 camargo / ma",PARÁ
José Pedro Monteiro,204.139.567-25,37,1987-12-16,"avenida asafe da costa
vila são rafael
83403-160 rezende de da cunha / pb",SÃO PAULO
Rebeca Siqueira,625.984.713-00,33,1992-04-17,"viaduto ana rios, 54
vila real 2ª seção
26729-925 costa dos dourados / sc",PARAÍBA
Ágatha Novaes,274.160.589-02,49,1976-04-07,"esplanada de porto, 863
inconfidência
95928-132 viana da mata / rn",ALAGOAS
José Das Neves,964.582.703-56,18,2007-07-12,"área bento marques, 16
mariano de abreu
91193-085 azevedo do norte / ce",AMAZONAS
Elisa Cavalcante,352.789.014-97,53,1971-09-01,"loteamento de barbosa, 77
lagoa
56966-380 siqueira / es",MATO GROSSO DO SUL
Letícia Ribeiro,095.426.873-38,50,1975-03-08,"praia de brito, 297
cidade jardim taquaril
57090-623 alves das pedras / ms",AMAZONAS
Lívia Rezende,185.206.739-02,20,2004-09-01,"passarela sales, 7
vila nova cachoeirinha 3ª seção
70584964 almeida / go",RONDÔNIA
Cecilia Silveira,258.067.943-00,56,1968-09-11,"favela de sampaio, 98
morro dos macacos
95759-679 souza / mg",AMAPÁ
Isaac Mendonça,021.857.639-03,60,1965-05-24,"conjunto de guerra, 703
santa inês
30645158 da cruz do sul / ro",RIO GRANDE DO NORTE
Maria Vitória Pinto,319.852.674-46,58,1966-12-23,"residencial bernardo cunha
vila suzana primeira seção
91500-675 rios do galho / es",PERNAMBUCO
Anthony Novais,528.369.410-06,24,2001-07-03,"favela de freitas, 90
vila minaslandia
26404-610 garcia de rezende / rr",PARÁ
Sra. Maria Helena Marques,215.370.468-53,50,1975-01-21,"praça porto, 200
vila são gabriel jacui
07635-898 costa / sc",ACRE
Guilherme Moura,521.683.409-51,42,1983-04-23,"passarela de araújo, 16
jardim felicidade
64976-408 sales da praia / to",TOCANTINS
Luana Fonseca,836.012.594-51,41,1984-02-17,"fazenda nascimento, 6
centro
62135-771 machado de minas / rs",MINAS GERAIS
Dante Aragão,675.048.392-56,48,1976-11-08,"campo eloá da conceição, 4
vila cloris
23341-391 camargo / df",ACRE
Sofia Freitas,194.528.067-02,48,1977-05-30,"viaduto luiz miguel da mata, 21
nova cintra
02282378 machado do amparo / rs",PARÁ
Sr. Apollo Das Neves,037.896.421-69,33,1992-04-10,"jardim de siqueira, 8
maria virgínia
97180673 vieira / ac",MINAS GERAIS
Beatriz Pereira,589.437.206-29,27,1998-06-06,"vale borges, 396
vila madre gertrudes 4ª seção
52348-601 correia / sc",RIO GRANDE DO SUL
Luiz Gustavo Da Paz,560.192.348-51,23,2002-05-30,"rua de brito, 996
dona clara
24193-464 ramos verde / sc",BAHIA
Cecília Sales,362.904.785-83,28,1996-10-29,"parque lucas da mota, 50
granja werneck
52977091 freitas / rr",RORAIMA
Heitor Araújo,672.340.598-65,33,1992-05-03,"sítio maya nunes, 417
vila batik
31473540 peixoto / mt",AMAZONAS
Daniela Rodrigues,076.348.512-80,30,1994-09-16,"parque melissa cirino, 53
providencia
56151845 viana da praia / pb",MATO GROSSO
Antony Caldeira,714.380.695-10,52,1972-12-21,"trevo de moraes, 8
virgínia
08873-471 teixeira / to",RIO GRANDE DO NORTE
Vinícius Pimenta,120.934.657-52,44,1980-09-07,"viaduto ana julia fernandes, 87
castanheira
22853-514 leão / to",SERGIPE
Emanuella Da Cunha,817.053.496-84,47,1977-12-25,"avenida da mota, 15
marajó
22021413 porto de minas / sp",ACRE
Ian Rezende,210.984.653-42,18,2007-07-18,"sítio isaac oliveira, 680
serra verde
59984-584 guerra / sp",SÃO PAULO
Zoe Mendes,591.084.623-05,25,1999-08-04,"residencial josé pedro pastor, 799
serra verde
03384-163 oliveira de minas / pa",ALAGOAS
Bryan Dias,106.937.584-57,55,1970-03-14,"pátio paulo da paz, 65
novo ouro preto
07987752 carvalho de das neves / pe",MATO GROSSO DO SUL
Rafael Mendes,390.715.682-02,41,1984-04-17,"sítio esther silveira, 80
paulo vi
31599-729 fogaça / ce",AMAZONAS
Luan Peixoto,213.480.769-50,25,2000-05-26,"rodovia campos, 45
são francisco
21334112 monteiro / ro",ALAGOAS
Dr. Murilo Dias,752.148.063-53,32,1992-12-27,"morro joão guilherme ramos
alto vera cruz
65010247 mendes / rn",PARÁ
Sophie Melo,201.576.839-40,48,1977-04-21,"loteamento de da paz, 484
são gabriel
17129-470 da conceição do oeste / al",MINAS GERAIS
Julia Carvalho,260.198.745-67,42,1982-11-21,"distrito lopes, 4
itaipu
60377-201 gonçalves da mata / pb",PIAUÍ
Ana Beatriz Rios,169.578.032-95,34,1991-02-24,"quadra costela, 75
copacabana
37647994 lima paulista / sc",MARANHÃO
Júlia Novaes,921.453.086-60,56,1969-04-29,"distrito joaquim mendes, 85
boa viagem
65147365 carvalho de da cunha / to",RIO GRANDE DO SUL
Srta. Mariane Mendes,028.351.694-15,58,1967-05-23,"área maria sophia guerra, 29
vila inestan
23371-944 pereira / pe",GOIÁS
Júlia Souza,907.682.453-38,32,1993-02-13,"travessa yasmin pastor, 44
providencia
10955693 sousa / pe",MATO GROSSO DO SUL
Luiz Felipe Brito,695.807.123-95,52,1973-02-17,"colônia de farias, 38
vila olhos d'água
21225-742 araújo do oeste / es",AMAPÁ
João Miguel Da Cunha,534.902.678-00,47,1977-09-06,"parque siqueira
nova floresta
18616-468 vasconcelos / ce",AMAPÁ
Ana Júlia Gonçalves,093.241.865-15,22,2002-10-06,"vereda andré brito, 55
vila santo antônio barroquinha
76219-915 montenegro do norte / ap",PERNAMBUCO
Caroline Lima,895.216.304-42,25,1999-10-16,"sítio gael nascimento, 307
maravilha
11237-572 da luz / df",AMAPÁ
Giovanna Brito,817.065.349-57,52,1973-05-13,"passarela de rodrigues, 84
pompéia
62215-393 gonçalves / sp",RIO GRANDE DO NORTE
Emanuella Dias,134.092.576-16,31,1994-05-26,"quadra de das neves, 74
calafate
84391828 lima de nunes / ap",PARAÍBA
Sr. Isaque Da Rocha,037.461.958-10,24,2001-05-23,"favela correia
pedreira padro lopes
26054979 oliveira das flores / mg",AMAPÁ
Ana Laura Freitas,487.950.316-93,46,1978-09-20,"praia kaique cirino, 424
são bento
95247571 guerra da serra / ro",ACRE
Rodrigo Da Mota,435.096.872-56,50,1974-10-20,"pátio pastor
vila nova
91263-869 sales / sc",MATO GROSSO
Henrique Melo,562.143.879-55,54,1971-01-09,"favela da rosa, 91
vila independencia 2ª seção
21752168 sampaio do norte / pa",SERGIPE
Isaac Vargas,047.951.638-39,37,1988-06-05,"avenida teixeira
flavio marques lisboa
09647-190 almeida das pedras / sc",RONDÔNIA
Maria Fernanda Rocha,203.685.197-59,44,1980-11-15,"jardim de lopes, 49
grajaú
39648-406 machado / sc",PIAUÍ
Alícia Guerra,216.548.973-37,40,1985-01-05,"largo mirella vasconcelos, 969
carmo
25123-553 cavalcante de peixoto / pb",RIO GRANDE DO NORTE
Maria Julia Da Cunha,560.437.891-75,41,1983-11-25,"lagoa de siqueira, 553
parque são pedro
95123-290 alves / rn",SÃO PAULO
Srta. Alícia Barbosa,891.430.625-98,26,1999-07-02,"distrito ana carolina dias, 9
jonas veiga
93243637 porto / rj",ESPÍRITO SANTO
Henry Gabriel Azevedo,601.234.587-90,18,2007-03-11,"trecho gonçalves, 5
engenho nogueira
71584142 martins verde / ap",MATO GROSSO DO SUL
Clara Duarte,132.608.497-69,47,1978-01-30,"estrada vieira
vila betânia
36419037 almeida alegre / ma",DISTRITO FEDERAL
Rhavi Silveira,208.594.671-20,31,1993-10-20,"loteamento maria helena leão, 94
mala e cuia
00736459 costela / sp",BAHIA
Giovanna Da Cruz,581.720.349-97,50,1974-09-17,"sítio nicole azevedo, 63
vila são francisco
80754128 cirino / ro",ESPÍRITO SANTO
Oliver Câmara,498.620.713-03,31,1993-12-23,"quadra de farias, 13
senhor dos passos
30250-663 abreu do oeste / rr",SANTA CATARINA
Mariah Cassiano,154.973.208-05,52,1972-09-24,"praça vasconcelos, 42
alta tensão 2ª seção
18590030 guerra / pe",MATO GROSSO DO SUL
Srta. Maria Eduarda Moreira,630.812.495-89,32,1993-02-17,"pátio olivia moreira, 580
jaqueline
87523341 campos / pe",MINAS GERAIS
Miguel Pires,693.107.854-20,35,1989-11-12,"avenida vinicius aragão, 8
mariano de abreu
53129941 novaes / pi",MINAS GERAIS
Bento Da Mata,513.286.097-40,59,1965-12-03,"área pietra nascimento, 8
vila madre gertrudes 2ª seção
59271077 almeida / ap",SERGIPE
Srta. Maria Julia Câmara,172.059.683-21,56,1969-07-22,"passarela nunes, 2
vista do sol
10924-372 cavalcante de da mota / am",RIO GRANDE DO NORTE
Matheus Gonçalves,695.107.843-20,47,1978-06-26,"conjunto de vieira, 50
vila suzana segunda seção
39049-721 novais / ba",PIAUÍ
Sra. Clarice Da Rosa,167.923.584-28,24,2000-09-14,"passarela montenegro
caiçara - adelaide
26267-841 mendonça grande / sc",ACRE
Sra. Aurora Da Mata,736.810.295-12,40,1985-05-23,"alameda correia
horto
25716331 barros / es",MARANHÃO
Ana Sophia Lopes,760.283.194-22,29,1996-05-02,"parque moreira, 32
cachoeirinha
52127838 camargo / ro",BAHIA
Miguel Peixoto,028.617.935-03,27,1997-10-19,"trecho de borges, 5
joão alfredo
40436864 porto de moura / se",BAHIA
Arthur Gabriel Da Cruz,342.508.917-04,27,1998-06-19,"rodovia de pereira, 6
vila atila de paiva
55882-836 leão / ma",DISTRITO FEDERAL
Davi Lucas Ribeiro,683.015.497-93,24,2001-07-01,"praça de aparecida, 692
camargos
57677-139 guerra das pedras / mg",ACRE
João Pedro Viana,359.016.274-07,59,1965-12-11,"morro de costela, 5
gutierrez
20746607 vasconcelos / go",TOCANTINS
Laís Ferreira,640.975.831-66,26,1998-12-24,"parque vieira, 103
etelvina carneiro
84652219 monteiro / ce",RONDÔNIA
Oliver Da Mota,409.823.571-41,31,1993-11-01,"ladeira campos, 42
vila madre gertrudes 1ª seção
92308378 câmara / rj",ALAGOAS
Liz Ramos,489.230.576-65,39,1985-07-28,"trevo de silva
monsenhor messias
41399616 nogueira / to",MATO GROSSO DO SUL
Maitê Cirino,439.258.106-33,47,1977-10-04,"ladeira de oliveira, 2
santa rita
84466-232 casa grande paulista / rj",PERNAMBUCO
Cauê Freitas,743.859.162-09,18,2007-02-15,"pátio rebeca da mota, 102
vila coqueiral
43767-112 siqueira / to",TOCANTINS
João Miguel Moura,569.012.348-05,35,1990-07-05,"avenida de azevedo, 661
caetano furquim
37841-148 garcia alegre / rr",RIO GRANDE DO NORTE
Enzo Porto,126.047.395-34,20,2005-07-08,"lago joão gabriel da luz
santa monica
55735-741 silveira do amparo / ma",RIO DE JANEIRO
Srta. Sofia Novaes,985.723.041-50,39,1986-03-08,"pátio de almeida, 38
mariano de abreu
79390-911 garcia / ma",MARANHÃO
Benjamin Novaes,498.765.302-83,28,1997-04-14,"trecho moraes, 89
ipiranga
88888-436 castro da mata / ap",BAHIA
Eduarda Azevedo,971.530.468-01,50,1975-05-31,"vila da cunha, 82
cardoso
15027-517 jesus do oeste / al",TOCANTINS
Isabelly Da Cruz,075.294.186-02,18,2007-06-22,"campo barbosa
oeste
79583-490 ribeiro / mt",AMAPÁ
Giovanna Cassiano,892.357.641-73,52,1973-01-02,"núcleo bernardo da cunha, 702
conjunto capitão eduardo
22309-659 barbosa do amparo / sc",RORAIMA
Daniela Silva,376.591.284-00,56,1969-01-14,"trevo de camargo, 36
aarão reis
70330-071 correia grande / df",ALAGOAS
Srta. Letícia Macedo,279.410.865-49,33,1991-11-11,"vereda theodoro costela, 37
saudade
57137100 montenegro de machado / df",MINAS GERAIS
Maria Isis Da Costa,753.628.490-00,53,1972-03-04,"estrada de da luz, 328
oeste
77210820 leão de garcia / pi",RIO GRANDE DO SUL
Luiz Fernando Caldeira,416.783.250-07,58,1967-07-17,"viela de pereira, 41
são bernardo
70679-932 siqueira verde / ms",PERNAMBUCO
Lucas Gabriel Araújo,620.354.879-00,19,2005-07-29,"colônia ramos, 667
lagoa
14298-785 mendonça / rr",RONDÔNIA
Sr. Vinícius Fernandes,859.740.316-01,27,1998-05-11,"viela garcia, 15
ouro preto
02160-476 martins / ba",CEARÁ
Natália Brito,810.956.243-42,60,1964-09-11,"fazenda larissa carvalho, 3
universo
73085906 lopes / df",PERNAMBUCO
Maria Julia Da Cruz,167.094.853-66,42,1982-08-11,"praia de mendonça, 72
vila boa vista
98170-837 fernandes / se",TOCANTINS
Sr. Arthur Pacheco,285.946.071-30,26,1998-10-28,"trecho de jesus, 69
vila jardim alvorada
67677-193 ramos / pr",GOIÁS
Vitor Gabriel Costa,253.418.097-50,21,2004-03-06,"vila maria clara freitas, 679
vila santo antônio barroquinha
28647540 das neves / mg",MATO GROSSO
Isadora Ramos,879.625.043-74,27,1998-04-27,"feira nogueira, 281
são lucas
93044659 azevedo / se",CEARÁ
Dr. Dante Araújo,176.039.824-13,36,1989-06-22,"condomínio danilo sales
nova suíça
78618747 melo / ms",TOCANTINS
Vinícius Câmara,692.473.805-29,26,1998-12-06,"trecho novais, 77
vila paris
33981-078 costa do norte / pi",PARAÍBA
Ana Liz Aparecida,702.945.683-10,45,1980-07-15,"praça gomes, 48
prado
97157-651 gonçalves / rr",ALAGOAS
Stella Da Cunha,273.461.908-31,27,1998-01-24,"largo otávio guerra, 2
nossa senhora da aparecida
33746245 martins / mg",ALAGOAS
Maria Flor Da Cruz,904.815.236-42,35,1990-03-12,"praça de camargo, 21
vila oeste
97454540 rodrigues paulista / rr",SERGIPE
Yuri Novaes,710.235.896-21,21,2004-05-05,"vereda santos, 597
nova suíça
82255-825 castro do norte / al",RIO GRANDE DO NORTE
Aylla Pastor,561.297.034-06,51,1973-08-01,"trevo de da cruz
delta
67427211 martins de lopes / rr",ESPÍRITO SANTO
Théo Correia,286.930.147-22,41,1983-08-12,"viela de farias, 507
lajedo
27472432 abreu / sp",PARANÁ
Raquel Novais,496.703.852-29,29,1996-01-07,"chácara moraes
vila jardim leblon
40353-699 moreira / ap",SERGIPE
Yago Nascimento,720.981.346-22,27,1998-03-10,"viela de da cunha, 52
alpes
88418281 moura / es",ALAGOAS
Bruno Souza,927.180.346-96,41,1984-04-27,"rua de lopes
barroca
37540896 silveira de goiás / rj",RIO DE JANEIRO
Enrico Andrade,378.296.541-82,34,1990-09-10,"lagoa de pacheco, 3
vila cemig
46593-650 sampaio da prata / go",AMAPÁ
