nome,cpf,idade,data,endereco,bairro,estado
Maria Liz Montenegro,970.***.***-0,32.0,1993-05-31,"lagoa de sá, 72",são josé,MG
Arthur Andrade,023.***.***-3,19.0,2006-04-26,"avenida da cruz, 52",jardim leblon,AC
Heitor Farias,867.***.***-2,26.0,1999-06-03,"vila benicio pacheco, 33",guarani,AM
Manuella Ramos,065.***.***-2,48.0,1977-03-07,"chácara garcia, 551",paraíso,CE
Milena Moura,761.***.***-7,49.0,1976-07-11,"trevo fogaça, 86",são francisco,ES
Vitor Gabriel Silveira,139.***.***-9,19.0,2005-07-27,"alameda de camargo, 8",conjunto novo dom bosco,MG
Lucas Campos,729.***.***-0,32.0,1993-10-23,"parque de aparecida, 54",pilar,RS
Sofia Garcia,168.***.***-7,48.0,1977-12-10,"loteamento josé miguel silveira, 83",vila independencia 1ª seção,SE
Ravy Cunha,951.***.***-2,60.0,1965-06-04,"estrada theo silveira, 60",são vicente,AM
Bernardo Brito,247.***.***-0,35.0,1990-09-13,"sítio cunha, 74",maria goretti,GO
Olivia Porto,307.***.***-8,55.0,1970-04-28,"viaduto freitas, 9",maria helena,RR
Sr. Rael Rios,632.***.***-7,58.0,1967-05-01,"conjunto martins, 73",mangueiras,CE
Mateus Oliveira,081.***.***-0,47.0,1978-08-05,"travessa campos, 49",vila batik,TO
Marcos Vinicius Abreu,340.***.***-8,57.0,1968-09-05,"trecho garcia, 80",floramar,GO
João Miguel Pinto,985.***.***-5,24.0,2001-03-20,"chácara de araújo, 18",alto dos pinheiros,PI
Dra. Caroline Monteiro,781.***.***-4,38.0,1987-08-03,"passarela de ramos, 34",boa viagem,AC
Lorenzo Rios,158.***.***-4,21.0,2003-07-26,"praça da conceição, 27",novo santa cecilia,MS
Sra. Maria Vitória Pinto,415.***.***-9,19.0,2006-08-21,campo rios,etelvina carneiro,TO
Sr. José Miguel Rios,179.***.***-8,20.0,2005-11-07,"distrito ana luiza cassiano, 7",conjunto santa maria,RJ
Allana Garcia,235.***.***-6,41.0,1984-10-23,"pátio de da costa, 968",santo antônio,CE
Maria Fernanda Lima,820.***.***-0,27.0,1998-03-01,"morro ramos, 89",lagoinha,DF
Maitê Pacheco,059.***.***-9,28.0,1997-02-15,"favela de sampaio, 69",virgínia,SP
Mathias Nunes,561.***.***-0,28.0,1997-12-05,"rua henrique vieira, 428",senhor dos passos,RS
Sara Nunes,863.***.***-3,53.0,1972-12-13,"morro de silveira, 77",barão homem de melo 3ª seção,PI
Bárbara Campos,170.***.***-3,58.0,1967-11-06,"estação de cassiano, 68",califórnia,PE
Dr. Luiz Miguel Correia,045.***.***-3,37.0,1988-01-25,"passarela costela, 6",conjunto minas caixa,RJ
Laura Mendonça,407.***.***-7,55.0,1970-04-21,"conjunto ferreira, 44",castanheira,PI
Mariana Peixoto,684.***.***-3,46.0,1979-06-01,"vila maria julia da mota, 6",mangabeiras,CE
Luigi Freitas,358.***.***-7,53.0,1972-08-14,"rodovia carvalho, 45",vila mantiqueira,MT
Sabrina Cirino,217.***.***-3,35.0,1990-01-26,"colônia ramos, 98",flamengo,SP
Gabriel Da Mata,675.***.***-7,43.0,1982-10-12,travessa de rezende,universo,BA
Raul Pastor,987.***.***-3,34.0,1991-10-17,"jardim de vasconcelos, 52",coração de jesus,AC
Sophie Freitas,931.***.***-1,33.0,1992-09-09,distrito de silva,piratininga,RJ
Srta. Nicole Carvalho,028.***.***-5,39.0,1986-10-18,"setor de da rosa, 584",cardoso,SC
Isaque Costa,869.***.***-0,23.0,2002-06-01,"viaduto sarah carvalho, 9",santa rita de cássia,RO
Pedro Miguel Farias,685.***.***-9,20.0,2005-09-13,"trevo lavínia andrade, 6",lindéia,MA
Theodoro Guerra,418.***.***-6,35.0,1990-03-24,viaduto giovanna abreu,tupi b,AP
Dra. Ester Lopes,813.***.***-5,28.0,1997-01-07,colônia samuel mendonça,vila minaslandia,DF
Henrique Cunha,760.***.***-3,57.0,1968-02-06,"lago daniel ribeiro, 2",paquetá,MS
Luiz Otávio Sampaio,796.***.***-9,56.0,1969-05-17,"vereda novaes, 1",maria helena,BA
Mathias Da Cunha,896.***.***-5,31.0,1994-07-20,"aeroporto asafe monteiro, 4",aeroporto,PA
Sr. Erick Das Neves,318.***.***-0,33.0,1992-10-12,viaduto manuella moraes,ipe,PI
João Miguel Martins,683.***.***-2,31.0,1994-04-30,"aeroporto de câmara, 8",confisco,AL
Valentim Castro,814.***.***-0,20.0,2005-01-30,"esplanada eloá da rosa, 53",apolonia,RJ
Maria Sophia Brito,072.***.***-3,23.0,2002-07-18,"trevo cavalcante, 83",baleia,RR
Evelyn Freitas,675.***.***-3,57.0,1968-09-18,"parque cauã correia, 34",urca,SC
Vitória Ramos,734.***.***-6,31.0,1994-01-05,"trevo cunha, 88",maria helena,AL
Dra. Camila Viana,958.***.***-4,56.0,1969-03-21,"campo de da mata, 77",vila coqueiral,PA
Dra. Mariah Ferreira,341.***.***-8,39.0,1986-04-28,jardim pietro peixoto,baleia,PE
Rodrigo Vieira,754.***.***-1,25.0,2000-03-05,"estrada igor sampaio, 1",vila boa vista,RS
Dr. João Gabriel Viana,573.***.***-2,41.0,1984-06-15,"esplanada pinto, 36",conjunto jatoba,MA
José Pedro Monteiro,204.***.***-2,38.0,1987-12-16,avenida asafe da costa,vila são rafael,PB
Rebeca Siqueira,625.***.***-0,33.0,1992-04-17,"viaduto ana rios, 54",vila real 2ª seção,SC
Ágatha Novaes,274.***.***-0,49.0,1976-04-07,"esplanada de porto, 863",inconfidência,RN
José Das Neves,964.***.***-5,18.0,2007-07-12,"área bento marques, 16",mariano de abreu,CE
Elisa Cavalcante,352.***.***-9,54.0,1971-09-01,"loteamento de barbosa, 77",lagoa,ES
Letícia Ribeiro,095.***.***-3,50.0,1975-03-08,"praia de brito, 297",cidade jardim taquaril,MS
Lívia Rezende,185.***.***-0,21.0,2004-09-01,"passarela sales, 7",vila nova cachoeirinha 3ª seção,GO
Cecilia Silveira,258.***.***-0,57.0,1968-09-11,"favela de sampaio, 98",morro dos macacos,MG
Isaac Mendonça,021.***.***-0,60.0,1965-05-24,"conjunto de guerra, 703",santa inês,RO
Maria Vitória Pinto,319.***.***-4,59.0,1966-12-23,residencial bernardo cunha,vila suzana primeira seção,ES
Anthony Novais,528.***.***-0,24.0,2001-07-03,"favela de freitas, 90",vila minaslandia,RR
Sra. Maria Helena Marques,215.***.***-5,50.0,1975-01-21,"praça porto, 200",vila são gabriel jacui,SC
Guilherme Moura,521.***.***-5,42.0,1983-04-23,"passarela de araújo, 16",jardim felicidade,TO
Luana Fonseca,836.***.***-5,41.0,1984-02-17,"fazenda nascimento, 6",centro,RS
Dante Aragão,675.***.***-5,49.0,1976-11-08,"campo eloá da conceição, 4",vila cloris,DF
Sofia Freitas,194.***.***-0,48.0,1977-05-30,"viaduto luiz miguel da mata, 21",nova cintra,RS
Sr. Apollo Das Neves,037.***.***-6,33.0,1992-04-10,"jardim de siqueira, 8",maria virgínia,AC
Beatriz Pereira,589.***.***-2,27.0,1998-06-06,"vale borges, 396",vila madre gertrudes 4ª seção,SC
Luiz Gustavo Da Paz,560.***.***-5,23.0,2002-05-30,"rua de brito, 996",dona clara,SC
Cecília Sales,362.***.***-8,28.0,1996-10-29,"parque lucas da mota, 50",granja werneck,RR
Heitor Araújo,672.***.***-6,33.0,1992-05-03,"sítio maya nunes, 417",vila batik,MT
Daniela Rodrigues,076.***.***-8,31.0,1994-09-16,"parque melissa cirino, 53",providencia,PB
Antony Caldeira,714.***.***-1,53.0,1972-12-21,"trevo de moraes, 8",virgínia,TO
Vinícius Pimenta,120.***.***-5,45.0,1980-09-07,"viaduto ana julia fernandes, 87",castanheira,TO
Emanuella Da Cunha,817.***.***-8,48.0,1977-12-25,"avenida da mota, 15",marajó,SP
Ian Rezende,210.***.***-4,18.0,2007-07-18,"sítio isaac oliveira, 680",serra verde,SP
Zoe Mendes,591.***.***-0,26.0,1999-08-04,"residencial josé pedro pastor, 799",serra verde,PA
Bryan Dias,106.***.***-5,55.0,1970-03-14,"pátio paulo da paz, 65",novo ouro preto,PE
Rafael Mendes,390.***.***-0,41.0,1984-04-17,"sítio esther silveira, 80",paulo vi,CE
Luan Peixoto,213.***.***-5,25.0,2000-05-26,"rodovia campos, 45",são francisco,RO
Dr. Murilo Dias,752.***.***-5,32.0,1992-12-27,morro joão guilherme ramos,alto vera cruz,RN
Sophie Melo,201.***.***-4,48.0,1977-04-21,"loteamento de da paz, 484",são gabriel,AL
Julia Carvalho,260.***.***-6,43.0,1982-11-21,"distrito lopes, 4",itaipu,PB
Ana Beatriz Rios,169.***.***-9,34.0,1991-02-24,"quadra costela, 75",copacabana,SC
Júlia Novaes,921.***.***-6,56.0,1969-04-29,"distrito joaquim mendes, 85",boa viagem,TO
Srta. Mariane Mendes,028.***.***-1,58.0,1967-05-23,"área maria sophia guerra, 29",vila inestan,PE
Júlia Souza,907.***.***-3,32.0,1993-02-13,"travessa yasmin pastor, 44",providencia,PE
Luiz Felipe Brito,695.***.***-9,52.0,1973-02-17,"colônia de farias, 38",vila olhos d'água,ES
João Miguel Da Cunha,534.***.***-0,48.0,1977-09-06,parque siqueira,nova floresta,CE
Ana Júlia Gonçalves,093.***.***-1,23.0,2002-10-06,"vereda andré brito, 55",vila santo antônio barroquinha,AP
Caroline Lima,895.***.***-4,26.0,1999-10-16,"sítio gael nascimento, 307",maravilha,DF
Giovanna Brito,817.***.***-5,52.0,1973-05-13,"passarela de rodrigues, 84",pompéia,SP
Emanuella Dias,134.***.***-1,31.0,1994-05-26,"quadra de das neves, 74",calafate,AP
Sr. Isaque Da Rocha,037.***.***-1,24.0,2001-05-23,favela correia,pedreira padro lopes,MG
Ana Laura Freitas,487.***.***-9,47.0,1978-09-20,"praia kaique cirino, 424",são bento,RO
Rodrigo Da Mota,435.***.***-5,51.0,1974-10-20,pátio pastor,vila nova,SC
Henrique Melo,562.***.***-5,54.0,1971-01-09,"favela da rosa, 91",vila independencia 2ª seção,PA
Isaac Vargas,047.***.***-3,37.0,1988-06-05,avenida teixeira,flavio marques lisboa,SC
Maria Fernanda Rocha,203.***.***-5,45.0,1980-11-15,"jardim de lopes, 49",grajaú,SC
Alícia Guerra,216.***.***-3,40.0,1985-01-05,"largo mirella vasconcelos, 969",carmo,PB
Maria Julia Da Cunha,560.***.***-7,42.0,1983-11-25,"lagoa de siqueira, 553",parque são pedro,RN
Srta. Alícia Barbosa,891.***.***-9,26.0,1999-07-02,"distrito ana carolina dias, 9",jonas veiga,RJ
Henry Gabriel Azevedo,601.***.***-9,18.0,2007-03-11,"trecho gonçalves, 5",engenho nogueira,AP
Clara Duarte,132.***.***-6,47.0,1978-01-30,estrada vieira,vila betânia,MA
Rhavi Silveira,208.***.***-2,32.0,1993-10-20,"loteamento maria helena leão, 94",mala e cuia,SP
Giovanna Da Cruz,581.***.***-9,51.0,1974-09-17,"sítio nicole azevedo, 63",vila são francisco,RO
Oliver Câmara,498.***.***-0,32.0,1993-12-23,"quadra de farias, 13",senhor dos passos,RR
Mariah Cassiano,154.***.***-0,53.0,1972-09-24,"praça vasconcelos, 42",alta tensão 2ª seção,PE
Srta. Maria Eduarda Moreira,630.***.***-8,32.0,1993-02-17,"pátio olivia moreira, 580",jaqueline,PE
Miguel Pires,693.***.***-2,36.0,1989-11-12,"avenida vinicius aragão, 8",mariano de abreu,PI
Bento Da Mata,513.***.***-4,60.0,1965-12-03,"área pietra nascimento, 8",vila madre gertrudes 2ª seção,AP
Srta. Maria Julia Câmara,172.***.***-2,56.0,1969-07-22,"passarela nunes, 2",vista do sol,AM
Matheus Gonçalves,695.***.***-2,47.0,1978-06-26,"conjunto de vieira, 50",vila suzana segunda seção,BA
Sra. Clarice Da Rosa,167.***.***-2,25.0,2000-09-14,passarela montenegro,caiçara - adelaide,SC
Sra. Aurora Da Mata,736.***.***-1,40.0,1985-05-23,alameda correia,horto,ES
Ana Sophia Lopes,760.***.***-2,29.0,1996-05-02,"parque moreira, 32",cachoeirinha,RO
Miguel Peixoto,028.***.***-0,28.0,1997-10-19,"trecho de borges, 5",joão alfredo,SE
Arthur Gabriel Da Cruz,342.***.***-0,27.0,1998-06-19,"rodovia de pereira, 6",vila atila de paiva,MA
Davi Lucas Ribeiro,683.***.***-9,24.0,2001-07-01,"praça de aparecida, 692",camargos,MG
João Pedro Viana,359.***.***-0,60.0,1965-12-11,"morro de costela, 5",gutierrez,GO
Laís Ferreira,640.***.***-6,27.0,1998-12-24,"parque vieira, 103",etelvina carneiro,CE
Oliver Da Mota,409.***.***-4,32.0,1993-11-01,"ladeira campos, 42",vila madre gertrudes 1ª seção,RJ
Liz Ramos,489.***.***-6,39.0,1985-07-28,trevo de silva,monsenhor messias,TO
Maitê Cirino,439.***.***-3,48.0,1977-10-04,"ladeira de oliveira, 2",santa rita,RJ
Cauê Freitas,743.***.***-0,18.0,2007-02-15,"pátio rebeca da mota, 102",vila coqueiral,TO
João Miguel Moura,569.***.***-0,35.0,1990-07-05,"avenida de azevedo, 661",caetano furquim,RR
Enzo Porto,126.***.***-3,20.0,2005-07-08,lago joão gabriel da luz,santa monica,MA
Srta. Sofia Novaes,985.***.***-5,39.0,1986-03-08,"pátio de almeida, 38",mariano de abreu,MA
Benjamin Novaes,498.***.***-8,28.0,1997-04-14,"trecho moraes, 89",ipiranga,AP
Eduarda Azevedo,971.***.***-0,50.0,1975-05-31,"vila da cunha, 82",cardoso,AL
Isabelly Da Cruz,075.***.***-0,18.0,2007-06-22,campo barbosa,oeste,MT
Giovanna Cassiano,892.***.***-7,52.0,1973-01-02,"núcleo bernardo da cunha, 702",conjunto capitão eduardo,SC
Daniela Silva,376.***.***-0,56.0,1969-01-14,"trevo de camargo, 36",aarão reis,DF
Srta. Letícia Macedo,279.***.***-4,34.0,1991-11-11,"vereda theodoro costela, 37",saudade,DF
Maria Isis Da Costa,753.***.***-0,53.0,1972-03-04,"estrada de da luz, 328",oeste,PI
Luiz Fernando Caldeira,416.***.***-0,58.0,1967-07-17,"viela de pereira, 41",são bernardo,MS
Lucas Gabriel Araújo,620.***.***-0,19.0,2005-07-29,"colônia ramos, 667",lagoa,RR
Sr. Vinícius Fernandes,859.***.***-0,27.0,1998-05-11,"viela garcia, 15",ouro preto,BA
Natália Brito,810.***.***-4,61.0,1964-09-11,"fazenda larissa carvalho, 3",universo,DF
Maria Julia Da Cruz,167.***.***-6,43.0,1982-08-11,"praia de mendonça, 72",vila boa vista,SE
Sr. Arthur Pacheco,285.***.***-3,26.0,1998-10-28,"trecho de jesus, 69",vila jardim alvorada,PR
Vitor Gabriel Costa,253.***.***-5,21.0,2004-03-06,"vila maria clara freitas, 679",vila santo antônio barroquinha,MG
Isadora Ramos,879.***.***-7,27.0,1998-04-27,"feira nogueira, 281",são lucas,SE
Dr. Dante Araújo,176.***.***-1,36.0,1989-06-22,condomínio danilo sales,nova suíça,MS
Vinícius Câmara,692.***.***-2,27.0,1998-12-06,"trecho novais, 77",vila paris,PI
Ana Liz Aparecida,702.***.***-1,45.0,1980-07-15,"praça gomes, 48",prado,RR
Stella Da Cunha,273.***.***-3,27.0,1998-01-24,"largo otávio guerra, 2",nossa senhora da aparecida,MG
Maria Flor Da Cruz,904.***.***-4,35.0,1990-03-12,"praça de camargo, 21",vila oeste,RR
Yuri Novaes,710.***.***-2,21.0,2004-05-05,"vereda santos, 597",nova suíça,AL
Aylla Pastor,561.***.***-0,52.0,1973-08-01,trevo de da cruz,delta,RR
Théo Correia,286.***.***-2,42.0,1983-08-12,"viela de farias, 507",lajedo,SP
Raquel Novais,496.***.***-2,29.0,1996-01-07,chácara moraes,vila jardim leblon,AP
Yago Nascimento,720.***.***-2,27.0,1998-03-10,"viela de da cunha, 52",alpes,ES
Bruno Souza,927.***.***-9,41.0,1984-04-27,rua de lopes,barroca,RJ
Enrico Andrade,378.***.***-8,35.0,1990-09-10,"lagoa de pacheco, 3",vila cemig,GO
Kamilly Costa,970.***.***-6,59.0,1966-03-19,"área de moreira, 86",pindura saia,SP
Davi Luiz Araújo,187.***.***-8,24.0,2001-11-07,"trevo gustavo carvalho, 98",dom silverio,RR
Gabrielly Garcia,324.***.***-5,61.0,1964-10-14,"esplanada de almeida, 128",vila independencia 1ª seção,MG
Srta. Hadassa Pimenta,240.***.***-9,60.0,1965-09-20,passarela de câmara,jardinópolis,RO
Sra. Larissa Ribeiro,130.***.***-7,51.0,1974-09-12,"avenida de novais, 29",padre eustáquio,GO
Maria Laura Freitas,857.***.***-6,51.0,1974-12-12,"vila castro, 8",vila nossa senhora do rosário,SE
Maria Isis Costa,063.***.***-9,47.0,1978-11-02,"avenida allana barros, 75",jardim vitoria,RS
Sra. Alice Pastor,346.***.***-0,39.0,1985-07-31,"praça diego da rosa, 59",nova esperança,RS
Vitor Gabriel Mendes,105.***.***-9,24.0,2001-01-10,"viaduto melina abreu, 679",paraíso,RR
Sra. Mariane Pastor,721.***.***-8,44.0,1981-12-22,"núcleo nascimento, 94",vila são paulo,SP
Dra. Larissa Guerra,053.***.***-9,52.0,1973-07-02,"lago arthur gabriel caldeira, 3",xodo-marize,RR
Juliana Cardoso,582.***.***-7,54.0,1971-03-26,"setor de sampaio, 39",paulo vi,RN
Isis Pimenta,351.***.***-8,33.0,1992-11-24,"setor cardoso, 120",nossa senhora aparecida,PR
Rael Carvalho,790.***.***-7,45.0,1980-02-09,"condomínio oliveira, 4",morro dos macacos,DF
José Miguel Sampaio,594.***.***-0,49.0,1976-08-06,"feira casa grande, 35",jatobá,MS
Srta. Rebeca Silva,215.***.***-6,39.0,1986-08-21,favela montenegro,venda nova,RO
Rael Porto,283.***.***-0,47.0,1978-07-23,vale nicole campos,vila maria,PA
Lucas Costa,093.***.***-6,36.0,1989-03-15,área de moura,vila jardim alvorada,MG
João Pedro Campos,745.***.***-9,56.0,1969-02-12,alameda davi lucca sampaio,são bento,AC
Juliana Macedo,543.***.***-1,56.0,1969-03-11,"distrito sara dias, 70",gutierrez,AC
Dr. Leonardo Oliveira,691.***.***-9,37.0,1988-03-25,"vila rios, 12",jardim montanhês,CE
Breno Mendonça,497.***.***-8,37.0,1988-01-12,"estrada esther gomes, 58",coração de jesus,AL
Rodrigo Abreu,392.***.***-0,25.0,2000-03-15,"colônia pinto, 289",heliopolis,RR
Sra. Maria Alice Nogueira,590.***.***-4,57.0,1968-04-17,"trecho duarte, 20",conjunto providencia,CE
Helena Ribeiro,410.***.***-9,49.0,1976-05-21,"condomínio nathan martins, 35",lindéia,AL
Maria Sophia Da Luz,798.***.***-9,57.0,1968-12-23,"vale costa, 78",alto dos pinheiros,RN
Maysa Cirino,421.***.***-0,50.0,1975-11-04,"residencial de sá, 83",bairro das indústrias ii,PR
Benício Nunes,284.***.***-2,61.0,1964-10-14,"condomínio de novaes, 3",madre gertrudes,PA
Gabriel Montenegro,987.***.***-1,28.0,1997-11-19,"quadra de azevedo, 11",vila antena,BA
Dra. Isabel Barros,921.***.***-0,32.0,1993-09-13,"fazenda yasmin marques, 3",aparecida 7ª seção,SC
João Felipe Gonçalves,670.***.***-5,47.0,1978-10-07,"jardim machado, 34",minas caixa,TO
Mariane Das Neves,023.***.***-4,59.0,1966-02-06,"setor lucca cardoso, 2",vila oeste,BA
Augusto Casa Grande,718.***.***-0,22.0,2003-08-04,"lago lucas moura, 22",maria tereza,MS
Maria Alice Borges,851.***.***-9,46.0,1979-04-19,"conjunto de das neves, 60",joão alfredo,RR
José Pedro Marques,496.***.***-2,22.0,2003-01-02,"largo caldeira, 44",solar do barreiro,RJ
Mirella Novais,150.***.***-0,36.0,1989-01-01,"núcleo de pires, 68",aguas claras,MA
Agatha Cirino,521.***.***-3,46.0,1979-07-10,"via de caldeira, 330",santa helena,RJ
Maria Eduarda Gomes,302.***.***-3,59.0,1966-03-06,"trecho cardoso, 6",aeroporto,RS
Luiz Otávio Sousa,830.***.***-8,29.0,1996-07-23,"vale vieira, 46",vila nova,DF
Gael Brito,971.***.***-1,60.0,1965-09-18,"colônia josé miguel vargas, 69",santa lúcia,MT
José Miguel Da Luz,480.***.***-1,50.0,1975-04-04,"colônia de farias, 58",são vicente,RR
Melina Casa Grande,867.***.***-1,59.0,1966-12-04,"praça de lopes, 5",dom joaquim,RN
Dra. Luara Rios,620.***.***-3,58.0,1967-03-29,alameda fogaça,nossa senhora do rosário,MG
Vitória Da Mota,874.***.***-0,20.0,2005-07-17,"colônia da luz, 7",olhos d'água,RJ
José Da Conceição,143.***.***-1,35.0,1990-07-25,"viela de pimenta, 94",dona clara,MT
Leonardo Sá,794.***.***-4,31.0,1994-06-24,"trevo alícia da costa, 297",santa maria,AL
Bella Santos,937.***.***-2,43.0,1982-02-23,"rodovia sousa, 2",bandeirantes,RS
Ana Clara Gomes,572.***.***-1,22.0,2003-01-03,"lago de ribeiro, 663",bom jesus,RN
Vinicius Pimenta,805.***.***-4,38.0,1987-10-10,"residencial de oliveira, 66",pousada santo antonio,AM
Ágatha Cardoso,958.***.***-3,40.0,1985-11-08,"alameda peixoto, 85",capitão eduardo,AC
Benício Lima,613.***.***-9,26.0,1999-04-13,"feira pinto, 11",vila copasa,AM
Yuri Moreira,127.***.***-7,23.0,2002-01-06,"jardim de dias, 59",flavio marques lisboa,GO
Dr. Danilo Costela,586.***.***-6,23.0,2002-07-01,núcleo da conceição,são cristóvão,MA
João Pedro Caldeira,329.***.***-5,44.0,1981-07-20,"lagoa ana beatriz sampaio, 8",vila nova,SE
Isadora Casa Grande,390.***.***-2,43.0,1982-07-11,"setor maria helena teixeira, 895",vila são rafael,AL
Maria Júlia Camargo,856.***.***-0,26.0,1999-03-29,"esplanada melo, 26",milionario,MG
Maria Clara Vieira,130.***.***-0,37.0,1987-11-30,"vereda da conceição, 589",califórnia,PR
Melina Mendes,194.***.***-8,51.0,1974-02-16,passarela de da cunha,venda nova,RR
Dr. Luiz Miguel Da Luz,978.***.***-8,28.0,1997-04-21,"praia lopes, 63",das industrias i,PB
Raquel Moura,518.***.***-0,28.0,1997-05-29,via thales pastor,nazare,BA
Isabela Novais,809.***.***-0,29.0,1996-04-08,"passarela pinto, 88",virgínia,PB
Ana Sophia Cunha,506.***.***-8,19.0,2006-05-15,"aeroporto leonardo cardoso, 329",tirol,RN
Bruna Teixeira,132.***.***-1,37.0,1987-09-29,"sítio ana luiza fernandes, 221",vila são francisco,CE
Enzo Gabriel Da Paz,431.***.***-9,48.0,1977-08-19,"estação moreira, 91",concórdia,MG
Vitor Barbosa,542.***.***-3,38.0,1987-03-15,"vale de souza, 8",são bernardo,TO
Maria Luísa Da Luz,849.***.***-0,31.0,1994-04-23,"campo pires, 84",caiçara - adelaide,RN
Nathan Mendes,509.***.***-6,40.0,1985-02-07,"campo anthony jesus, 73",vale do jatoba,PB
Dra. Esther Aparecida,891.***.***-6,45.0,1980-05-17,"campo jesus, 95",gutierrez,RN
Maria Julia Vargas,302.***.***-7,49.0,1976-04-22,"feira araújo, 66",horto,CE
